Feature ID	score	A	B	T	idQM	idQA	idQB	idAB	idQT	LY	LN	LA	RY	RN	RA	div	YN
321965;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
327042;size=3	0.1523	4355611;size=6	581655;size=9	4355611;size=6	90.3	88.7	76.5	75.2	88.7	35	2	7	10	6	8	1.7	N
331288;size=3	0.0452	556116;size=9	593659;size=7	593659;size=7	88.3	74.2	87.9	75.8	87.9	2	1	1	43	8	19	0.4	N
336433;size=3	0.024	575708;size=18	226487;size=10	226487;size=10	89.8	88.1	88.6	91.9	88.6	6	3	18	6	2	1	1.3	N
337705;size=3	0.0162	4398984;size=6	226718;size=35	4398984;size=6	93.5	92.7	92.2	97.1	92.7	4	1	8	2	0	7	0.8	N
3453863;size=3	0.0775	1105235;size=6	235789;size=11	1105235;size=6	97.6	96.4	95.1	94.7	96.4	7	1	5	3	0	0	1.2	N
357721;size=3	0.0308	238291;size=7	902438;size=6	902438;size=6	79.1	76.6	77.4	74.9	77.4	5	1	2	23	17	29	1.7	N
3590520;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
36010;size=3	0.0713	824904;size=9	4321741;size=6	4321741;size=6	85.7	80.3	84.0	83.6	84.0	4	0	0	23	10	24	1.7	N
362115;size=3	0.0952	245925;size=7	212306;size=9	212306;size=9	93.6	90.3	91.9	92.8	91.9	6	2	11	8	0	2	1.7	N
362710;size=3	0.0313	182748;size=9	825188;size=9	825188;size=9	78.1	75.5	77.7	73.4	77.7	22	21	24	7	1	5	0.4	N
366996;size=3	0.0598	99995;size=14	4308710;size=73	4308710;size=73	93.2	89.0	92.0	87.3	92.0	3	0	0	17	7	9	1.3	N
367223;size=3	0.0148	367313;size=7	823572;size=7	367313;size=7	94.3	93.9	93.1	95.1	93.9	5	2	0	3	2	10	0.4	N
3689880;size=3	0.0456	256656;size=36	2264930;size=16	256656;size=36	91.5	89.9	88.7	90.3	89.9	12	5	10	4	0	6	1.6	N
3942776;size=3	0.0398	329628;size=91	99995;size=14	99995;size=14	90.6	85.5	89.7	85.9	89.7	2	0	1	18	6	15	0.9	N
4005545;size=3	0.0644	222997;size=17	2261663;size=31	2261663;size=31	98.4	96.7	97.1	96.3	97.1	4	1	3	4	0	0	1.2	N
4020968;size=3	0.034	832287;size=39	222564;size=75	832287;size=39	88.7	87.4	84.2	82.6	87.4	17	6	12	8	5	5	1.2	N
4024825;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4237652;size=3	0.0377	4313776;size=10	1112726;size=11	4313776;size=10	95.5	94.7	93.9	93.9	94.7	4	0	2	6	4	5	0.8	N
4257586;size=3	0.1055	2582923;size=10	249891;size=18	2582923;size=10	89.0	84.7	80.9	78.4	84.7	23	4	12	16	6	4	4.2	N
4298123;size=3	0.0168	4460365;size=19	1112326;size=7	1112326;size=7	95.9	94.3	95.5	98.0	95.5	1	0	0	4	0	10	0.4	N
4298128;size=3	0.0552	762252;size=7	762396;size=13	762252;size=7	93.6	92.8	87.3	89.0	92.8	18	3	7	3	1	4	0.8	N
4299829;size=3	0.0303	830341;size=14	112952;size=6	112952;size=6	84.7	79.6	84.3	80.4	84.3	9	8	14	16	4	10	0.4	N
4302248;size=3	0.0192	824904;size=9	4390506;size=7	824904;size=9	92.1	91.2	90.4	95.4	91.2	5	1	13	2	0	5	0.8	N
4303009;size=3	0.1144	815886;size=7	4308710;size=73	815886;size=7	97.9	95.4	95.4	93.3	95.4	7	1	1	7	1	2	2.5	N
4305287;size=3	0.0361	225294;size=7	4019363;size=12	225294;size=7	88.6	87.7	81.4	80.5	87.7	27	10	14	2	0	3	0.8	N
4306287;size=3	0.0384	3453873;size=8	219565;size=6	219565;size=6	78.9	72.7	76.7	69.2	76.7	7	2	6	31	17	23	2.2	N
4307557;size=3	0.0302	251010;size=6	908911;size=17	908911;size=17	89.9	86.6	88.7	85.8	88.7	8	5	9	13	5	6	1.2	N
4314133;size=3	0.013	219943;size=7	1113779;size=18	219943;size=7	79.0	78.5	74.2	75.1	78.5	25	14	34	1	0	1	0.4	N
4324867;size=3	0.0512	830341;size=14	143935;size=10	830341;size=14	91.0	88.4	87.1	85.0	88.4	15	6	8	9	3	4	2.6	N
4327554;size=3	0.141	100463;size=16	1061084;size=10	100463;size=16	88.3	83.9	81.3	81.3	83.9	18	2	4	13	3	18	4.3	N
4327666;size=3	0.0338	587754;size=8	224590;size=9	587754;size=8	96.7	96.3	94.7	93.5	96.3	6	1	0	5	4	3	0.4	N
4327914;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4332798;size=3	0.0227	970115;size=6	4477119;size=7	4477119;size=7	70.2	66.5	69.4	76.4	69.4	2	0	0	23	14	58	0.8	N
4338619;size=3	1.929	512689;size=7	2505304;size=8	512689;size=7	98.0	95.2	77.9	75.9	95.2	50	0	0	7	0	5	2.8	Y
4340447;size=3	0.0344	564348;size=6	311567;size=7	564348;size=6	90.3	89.1	87.4	89.9	89.1	9	2	6	7	4	12	1.2	N
4342295;size=3	0.0562	4457838;size=7	810595;size=49	4457838;size=7	91.7	90.9	85.1	83.0	90.9	19	3	9	8	6	2	0.8	N
4344614;size=3	0.1199	1697001;size=15	226697;size=26	1697001;size=15	93.9	93.5	86.6	90.7	93.5	18	0	0	3	2	13	0.4	N
4346868;size=3	0.0324	1142462;size=53	220373;size=11	220373;size=11	98.0	96.8	97.2	98.0	97.2	2	0	4	3	0	1	0.8	N
4350691;size=3	0.0303	4314930;size=9	682616;size=6	4314930;size=9	89.7	89.3	85.2	86.4	89.3	14	3	9	5	4	9	0.4	N
4350805;size=3	0.0523	226487;size=10	220373;size=11	220373;size=11	98.0	92.3	97.6	92.7	97.6	1	0	3	15	1	1	0.4	N
4352073;size=3	0.0207	222997;size=17	227170;size=10	227170;size=10	80.2	77.8	78.6	81.1	78.6	13	9	15	11	5	19	1.6	N
4352115;size=3	0.0987	1019326;size=6	812105;size=21	812105;size=21	89.3	85.0	87.6	94.0	87.6	4	0	0	10	0	25	1.7	N
4352292;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4354370;size=3	0.0194	509188;size=7	593863;size=27	509188;size=7	93.6	93.2	91.1	91.5	93.2	10	4	2	3	2	7	0.4	N
4360582;size=3	0.0254	226697;size=26	684111;size=35	684111;size=35	95.9	91.5	95.5	90.7	95.5	1	0	0	16	5	5	0.4	N
4361133;size=3	0.0156	1142462;size=53	4429282;size=7	4429282;size=7	97.5	96.2	97.1	98.3	97.1	1	0	0	3	0	6	0.4	N
4361212;size=3	0.0412	769731;size=13	4298720;size=12	4298720;size=12	90.8	87.0	89.9	89.1	89.9	8	6	3	10	1	12	0.8	N
4361861;size=3	0.0892	550708;size=11	4398984;size=6	550708;size=11	85.0	83.7	72.0	72.4	83.7	44	12	25	3	0	0	1.2	N
4361862;size=3	0.0475	226395;size=7	1061084;size=10	1061084;size=10	87.3	84.9	86.9	82.9	86.9	17	16	12	6	0	3	0.4	N
4363463;size=3	0.0308	830341;size=14	143935;size=10	830341;size=14	87.7	86.0	84.3	84.7	86.0	14	6	8	8	4	11	1.7	N
4364519;size=3	0.1593	249749;size=10	1697001;size=15	249749;size=10	86.6	82.6	81.8	78.9	82.6	22	10	22	10	0	1	4.0	N
4372469;size=3	0.0544	2881872;size=6	311567;size=7	311567;size=7	86.4	80.9	85.2	81.8	85.2	3	0	0	23	10	22	1.3	N
4377284;size=3	0.125	2505304;size=8	4460365;size=19	2505304;size=8	88.7	86.2	83.4	87.0	86.2	16	3	23	6	0	2	2.4	N
4382004;size=3	0.0479	210270;size=6	1978301;size=6	1978301;size=6	89.2	85.0	87.5	87.1	87.5	5	1	3	16	6	16	1.7	N
4383844;size=3	0.2114	1978301;size=6	541715;size=18	541715;size=18	92.7	86.6	87.8	82.5	87.8	16	4	9	16	1	4	4.9	N
4393923;size=3	1.517	810595;size=49	1144696;size=34	810595;size=49	97.2	90.2	82.9	76.4	90.2	37	2	2	17	0	3	6.9	Y
4394370;size=3	0.097	1105235;size=6	254861;size=8	1105235;size=6	91.5	89.5	88.7	95.1	89.5	7	0	0	5	0	21	2.0	N
4396878;size=3	0.7826	100463;size=16	227390;size=11	100463;size=16	96.6	89.0	84.8	75.9	89.0	31	3	4	19	1	0	7.6	Y
4398254;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4400713;size=3	0.0626	768761;size=14	226697;size=26	226697;size=26	85.4	79.3	81.3	75.6	81.3	18	8	12	21	6	10	4.1	N
4401436;size=3	0.1129	4425887;size=17	249741;size=14	4425887;size=17	91.3	87.9	85.3	81.4	87.9	15	1	7	17	9	3	3.5	N
4409536;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4412025;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4415360;size=3	0.0258	254143;size=16	4370064;size=26	254143;size=16	93.1	92.7	91.8	92.7	92.7	3	0	0	6	5	11	0.4	N
4419012;size=3	0.6335	328307;size=8	205839;size=116	328307;size=8	97.1	91.2	85.8	79.6	91.2	28	1	1	17	3	2	5.8	Y
4420127;size=3	0.0463	837041;size=16	254116;size=10	254116;size=10	79.8	73.5	76.5	72.3	76.5	13	5	8	26	11	24	3.4	N
4421717;size=3	0.0406	1978301;size=6	769731;size=13	769731;size=13	95.8	93.7	94.9	97.0	94.9	2	0	1	5	0	9	0.8	N
4422318;size=3	0.066	1113187;size=30	592414;size=11	1113187;size=30	91.9	89.1	86.3	78.6	89.1	19	5	1	16	9	5	2.8	N
4423142;size=3	0.0344	920257;size=11	4314522;size=6	4314522;size=6	93.2	91.1	92.4	94.5	92.4	5	3	7	5	0	6	0.8	N
4427135;size=3	0.0161	1112108;size=16	218936;size=19	218936;size=19	98.3	97.0	97.8	97.4	97.8	1	0	0	4	1	3	0.4	N
4431616;size=3	1.0823	1829920;size=9	809886;size=7	1829920;size=9	97.1	92.1	82.4	76.2	92.1	35	0	0	16	4	3	5.0	Y
4432247;size=3	0.1193	1105235;size=6	235789;size=11	1105235;size=6	99.2	98.0	96.0	94.7	98.0	9	1	1	3	0	0	1.2	N
443417;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4439991;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4440609;size=3	1.5214	587313;size=118	556931;size=26	587313;size=118	98.3	95.3	82.6	80.5	95.3	37	0	4	7	0	0	3.0	Y
4444055;size=3	0.1209	610383;size=9	1105298;size=15	1105298;size=15	99.6	89.0	99.2	88.1	99.2	1	0	0	26	1	0	0.4	N
4444121;size=3	0.1992	100463;size=16	1112726;size=11	1112726;size=11	97.5	89.9	96.6	89.5	96.6	3	1	5	18	0	0	0.8	N
4444209;size=3	0.0389	618396;size=6	217710;size=15	618396;size=6	97.4	97.0	91.8	91.8	97.0	15	2	2	1	0	2	0.4	N
4447027;size=3	0.2109	4461997;size=8	625385;size=113	4461997;size=8	95.7	92.3	91.9	90.2	92.3	11	2	7	8	0	1	3.4	N
4458584;size=3	0.0229	320175;size=14	155243;size=32	320175;size=14	97.5	96.6	96.6	96.6	96.6	4	2	4	2	0	0	0.8	N
4470193;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4471583;size=3	0.0785	205839;size=116	954745;size=82	205839;size=116	97.1	96.7	90.5	92.9	96.7	16	0	7	1	0	0	0.4	N
4477959;size=3	0.0246	207672;size=22	583488;size=6	207672;size=22	85.5	85.0	81.2	82.1	85.0	15	5	12	8	7	10	0.4	N
4484276;size=3	0.4345	183133;size=7	226552;size=19	183133;size=7	94.0	87.6	79.5	72.6	87.6	37	3	2	18	3	6	6.4	Y
448806;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
509120;size=3	0.0206	151729;size=27	825188;size=9	151729;size=27	78.7	77.9	75.4	88.9	77.9	15	7	43	2	0	2	0.8	N
509954;size=3	0.0659	4390905;size=6	284815;size=14	4390905;size=6	81.9	79.8	77.4	81.1	79.8	19	8	34	5	0	2	2.1	N
513471;size=3	0.3411	587754;size=8	830254;size=8	587754;size=8	95.0	94.1	80.8	80.3	94.1	34	0	1	7	5	6	0.8	Y
525657;size=3	0.0501	212202;size=12	311991;size=16	311991;size=16	87.2	81.6	85.9	84.2	85.9	3	0	2	21	8	20	1.3	N
528941;size=3	0.1084	1066562;size=85	217586;size=6	1066562;size=85	87.4	84.6	79.7	84.1	84.6	23	4	17	8	1	9	2.8	N
529323;size=3	0.0576	249741;size=14	4398984;size=6	249741;size=14	91.5	91.1	73.6	74.0	91.1	52	8	10	2	1	2	0.4	N
534528;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
535087;size=3	0.039	810595;size=49	824904;size=9	824904;size=9	97.0	92.8	96.6	93.6	96.6	1	0	0	11	1	6	0.4	N
535395;size=3	0.5131	731671;size=8	961607;size=8	731671;size=8	94.7	92.2	74.2	72.1	92.2	51	1	2	9	3	7	2.5	Y
535450;size=3	0.0182	723690;size=20	2416609;size=21	723690;size=20	97.9	97.4	95.7	94.0	97.4	9	4	1	1	0	0	0.4	N
537115;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
541155;size=3	0.093	1113187;size=30	3580756;size=11	1113187;size=30	86.4	82.7	77.0	72.8	82.7	28	5	12	16	7	9	3.7	N
542454;size=3	0.0545	635559;size=6	4409535;size=9	635559;size=6	94.2	93.8	89.2	93.8	93.8	12	0	5	2	1	8	0.4	N
543842;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
546910;size=3	0.0171	567134;size=24	251010;size=6	567134;size=24	87.4	87.0	83.8	83.4	87.0	19	10	19	2	1	1	0.4	N
551166;size=3	0.1098	583488;size=6	207672;size=22	207672;size=22	97.0	83.4	96.6	82.1	96.6	2	1	2	34	2	2	0.4	N
552820;size=3	0.0552	550708;size=11	212306;size=9	212306;size=9	82.8	73.2	80.8	69.5	80.8	16	11	12	30	7	11	2.1	N
556217;size=3	0.1022	812105;size=21	547608;size=22	812105;size=21	91.9	88.5	84.6	78.2	88.5	26	9	7	10	2	1	3.4	N
559411;size=3	0.0437	510347;size=6	219743;size=15	510347;size=6	96.7	95.5	94.7	94.3	95.5	7	2	3	4	1	2	1.2	N
561691;size=3	0.0722	1113187;size=30	142319;size=19	1113187;size=30	92.1	90.0	85.5	78.4	90.0	20	4	0	15	10	5	2.1	N
562089;size=3	0.0599	877603;size=6	219743;size=15	219743;size=15	91.1	83.1	90.3	85.6	90.3	2	0	2	23	4	15	0.8	N
566368;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
566526;size=3	0.0316	509188;size=7	593863;size=27	509188;size=7	93.0	92.1	90.1	90.5	92.1	12	5	11	2	0	1	0.8	N
572125;size=3	0.0213	4314522;size=6	4313776;size=10	4313776;size=10	94.1	92.9	93.3	97.5	93.3	2	0	0	3	0	14	0.8	N
573494;size=3	0.0845	4409534;size=29	270276;size=11	270276;size=11	94.6	88.3	93.3	86.2	93.3	3	0	1	20	5	7	1.2	N
574674;size=3	0.5022	4416965;size=8	251010;size=6	4416965;size=8	94.1	88.2	85.3	78.6	88.2	27	6	8	14	0	0	5.9	Y
576186;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
576693;size=3	0.4242	826242;size=28	510347;size=6	826242;size=28	90.6	85.5	81.2	77.8	85.5	27	5	17	12	0	0	5.1	Y
579698;size=3	0.2079	4382279;size=17	4320964;size=6	4320964;size=6	92.3	86.2	89.9	87.4	89.9	9	3	14	15	0	2	2.4	N
580203;size=3	0.0308	908911;size=17	316260;size=10	316260;size=10	95.0	92.4	94.1	93.7	94.1	2	0	3	9	3	6	0.8	N
580796;size=3	0.5297	4308710;size=73	224590;size=9	4308710;size=73	92.2	86.4	78.2	73.7	86.4	37	3	12	15	1	3	5.8	Y
583051;size=3	0.0379	817479;size=15	151071;size=55	151071;size=55	92.4	89.1	91.2	91.2	91.2	4	1	12	11	3	2	1.3	N
583699;size=3	0.0344	868710;size=17	113896;size=16	113896;size=16	86.4	81.4	85.2	79.2	85.2	4	1	4	23	11	16	1.3	N
584174;size=3	0.5003	241950;size=7	547608;size=22	547608;size=22	97.9	89.5	95.4	88.2	95.4	7	1	2	20	0	2	2.5	Y
589001;size=3	0.0731	3541724;size=26	830358;size=22	3541724;size=26	92.8	91.5	86.0	86.4	91.5	20	4	11	4	1	1	1.3	N
589212;size=3	0.6938	824904;size=9	625385;size=113	824904;size=9	95.8	90.8	83.2	77.3	90.8	34	4	5	12	0	1	5.0	Y
592723;size=3	0.0998	227019;size=7	1143902;size=19	227019;size=7	91.6	90.3	79.3	78.9	90.3	35	6	10	3	0	4	1.3	N
593605;size=3	0.0857	253107;size=17	2505304;size=8	2505304;size=8	87.9	84.5	85.4	79.1	85.4	6	0	0	21	13	16	2.5	N
593905;size=3	0.0372	565567;size=8	587754;size=8	587754;size=8	92.2	89.2	91.3	93.5	91.3	2	0	0	9	2	16	0.9	N
594023;size=3	0.0601	4465496;size=9	985891;size=21	4465496;size=9	94.7	93.1	92.3	93.1	93.1	9	3	7	4	0	3	1.6	N
60598;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
615001;size=3	0.0701	284815;size=14	908911;size=17	284815;size=14	97.5	97.1	90.1	90.9	97.1	19	1	5	1	0	0	0.4	N
619515;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
622364;size=3	0.0119	818104;size=10	1126654;size=8	1126654;size=8	91.6	90.3	91.1	95.4	91.1	3	2	4	4	1	13	0.4	N
625475;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
641612;size=3	0.0927	220373;size=11	554212;size=10	220373;size=11	94.7	93.9	90.7	91.9	93.9	10	0	1	5	3	9	0.8	N
642522;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
652118;size=3	0.671	671574;size=11	844118;size=19	671574;size=11	95.9	90.1	84.3	79.8	90.1	30	2	6	15	1	1	5.8	Y
655207;size=3	0.0363	541715;size=18	1105824;size=6	541715;size=18	81.7	79.3	77.6	80.1	79.3	14	4	15	13	7	19	2.4	N
673176;size=3	0.1051	217586;size=6	588387;size=63	588387;size=63	97.9	94.6	96.2	93.3	96.2	5	1	2	9	1	1	1.7	N
673712;size=3	0.07	692922;size=9	2261663;size=31	692922;size=9	89.9	87.4	83.2	79.0	87.4	20	4	9	13	7	4	2.5	N
673969;size=3	0.2448	182748;size=9	556931;size=26	182748;size=9	87.2	81.3	81.3	74.0	81.3	25	11	18	14	0	1	6.0	N
680571;size=3	0.0627	768761;size=14	2881872;size=6	768761;size=14	92.2	90.5	89.6	92.2	90.5	6	0	3	7	3	12	1.7	N
684207;size=3	0.0494	332361;size=9	683436;size=7	683436;size=7	97.6	89.1	97.2	87.5	97.2	1	0	0	25	4	2	0.4	N
687123;size=3	0.0066	1142462;size=53	4429282;size=7	1142462;size=53	96.3	95.9	95.9	98.4	95.9	1	0	0	2	1	8	0.4	N
690512;size=3	0.0944	638638;size=10	825188;size=9	825188;size=9	91.1	86.2	88.6	84.6	88.6	13	7	10	13	1	4	2.4	N
691138;size=3	0.0247	311567;size=7	4418170;size=14	311567;size=7	95.1	94.7	91.5	91.1	94.7	14	5	5	2	1	1	0.4	N
692033;size=3	0.0468	240726;size=8	826242;size=28	826242;size=28	97.4	86.6	97.0	83.6	97.0	1	0	0	31	6	0	0.4	N
693971;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
694136;size=3	0.0689	2582923;size=10	593659;size=7	593659;size=7	81.4	73.4	78.5	78.5	78.5	9	2	6	28	9	27	3.0	N
694276;size=3	0.0141	4298720;size=12	4371080;size=7	4298720;size=12	97.4	97.0	96.5	97.4	97.0	2	0	1	2	1	4	0.4	N
698469;size=3	0.0296	4385105;size=6	1019326;size=6	4385105;size=6	78.0	75.5	74.7	77.2	75.5	18	10	30	9	3	10	2.5	N
699849;size=3	0.0111	220395;size=8	227170;size=10	227170;size=10	93.2	92.4	92.8	94.5	92.8	3	2	11	4	2	1	0.4	N
705342;size=3	0.0335	841927;size=29	570520;size=10	570520;size=10	90.3	86.7	89.9	89.5	89.9	7	6	10	11	2	6	0.4	N
706774;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
707870;size=3	0.1038	1019326;size=6	246169;size=15	1019326;size=6	94.6	94.2	78.4	80.5	94.2	40	1	10	1	0	2	0.4	N
712751;size=3	0.0496	235675;size=7	4446018;size=10	235675;size=7	82.6	80.4	76.5	80.0	80.4	19	5	29	8	3	3	2.2	N
714724;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
739372;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
751555;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
755077;size=3	0.0421	3755710;size=12	249741;size=14	3755710;size=12	95.9	95.5	91.9	95.5	95.5	10	0	10	1	0	0	0.4	N
777197;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
787260;size=3	0.055	4416965;size=8	832844;size=8	4416965;size=8	90.8	90.3	88.2	84.9	90.3	6	0	1	13	12	9	0.4	N
790865;size=3	0.0311	243632;size=10	245925;size=7	243632;size=10	79.4	76.9	75.6	78.6	76.9	14	5	13	13	7	24	2.5	N
795469;size=3	0.0907	1113187;size=30	4019363;size=12	1113187;size=30	92.0	89.0	85.7	80.6	89.0	18	3	5	13	6	5	3.0	N
801050;size=3	0.0518	593659;size=7	4416965;size=8	593659;size=7	94.2	93.8	87.1	88.3	93.8	19	2	11	2	1	0	0.4	N
802819;size=3	0.0251	731671;size=8	554212;size=10	731671;size=8	94.2	93.8	90.5	93.4	93.8	11	2	12	1	0	0	0.4	N
805853;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
805938;size=3	1.9424	671574;size=11	151959;size=80	671574;size=11	96.6	87.7	87.7	82.1	87.7	21	0	6	21	0	2	8.9	Y
807498;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
809024;size=3	0.0151	902438;size=6	985891;size=21	902438;size=6	88.6	88.1	85.6	91.9	88.1	10	3	24	1	0	0	0.4	N
812560;size=3	0.0161	4135995;size=12	821052;size=16	4135995;size=12	93.9	93.5	92.7	91.1	93.5	7	4	6	5	4	1	0.4	N
812749;size=3	0.0372	2881872;size=6	367313;size=7	367313;size=7	94.4	89.2	94.0	93.5	94.0	1	0	0	13	1	12	0.4	N
814208;size=3	0.0977	671574;size=11	1108593;size=12	671574;size=11	93.0	91.4	82.7	77.8	91.4	29	4	4	11	7	2	1.6	N
817836;size=3	0.0341	1107775;size=7	1144696;size=34	1107775;size=7	83.3	80.3	79.8	77.6	80.3	17	9	13	12	5	11	3.1	N
819540;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
822977;size=3	0.0132	326101;size=27	556931;size=26	326101;size=27	90.6	89.7	89.7	94.0	89.7	6	4	13	2	0	5	0.9	N
823226;size=3	0.0543	2867531;size=52	4457838;size=7	4457838;size=7	79.2	72.2	77.1	74.7	77.1	6	1	3	30	13	34	2.0	N
823609;size=3	0.0273	807622;size=9	1144696;size=34	1144696;size=34	84.5	80.4	83.3	82.4	83.3	6	3	4	20	10	21	1.2	N
823661;size=3	0.0572	513237;size=15	320175;size=14	320175;size=14	97.5	94.1	96.6	93.7	96.6	2	0	0	10	2	4	0.8	N
824041;size=3	0.0664	4385105;size=6	1105298;size=15	1105298;size=15	91.5	88.0	89.3	91.5	89.3	7	2	12	9	1	5	2.1	N
824180;size=3	0.1237	4358275;size=9	1109016;size=31	4358275;size=9	97.1	95.8	92.0	92.4	95.8	13	1	3	3	0	3	1.3	N
826214;size=3	0.0753	142319;size=19	835293;size=18	835293;size=18	96.6	85.5	96.2	86.8	96.2	1	0	0	28	2	6	0.4	N
828575;size=3	0.02	4303797;size=8	855806;size=23	855806;size=23	91.2	88.1	90.7	95.6	90.7	1	0	0	7	0	20	0.4	N
831859;size=3	0.0842	1066562;size=85	254852;size=18	1066562;size=85	87.9	85.4	81.7	83.3	85.4	17	2	5	12	6	16	2.5	N
833313;size=3	0.0229	581998;size=6	827408;size=18	827408;size=18	86.3	82.4	85.4	82.4	85.4	5	3	6	17	8	15	0.9	N
833678;size=3	0.0169	833359;size=8	654524;size=72	654524;size=72	94.0	92.3	93.5	94.0	93.5	3	2	4	6	2	7	0.4	N
834970;size=3	0.0803	591157;size=16	541715;size=18	541715;size=18	86.7	76.8	85.8	72.5	85.8	15	13	12	26	3	3	0.9	N
836626;size=3	0.0461	4416965;size=8	612770;size=33	4416965;size=8	88.9	87.2	85.1	81.3	87.2	23	14	8	4	0	4	1.7	N
837837;size=3	0.0252	951190;size=20	654524;size=72	951190;size=20	85.3	84.1	82.4	85.7	84.1	10	3	15	9	6	12	1.2	N
842292;size=3	0.0231	4379914;size=6	4402415;size=19	4379914;size=6	96.2	95.8	93.3	91.2	95.8	12	5	3	2	1	0	0.4	N
850087;size=3	0.034	739481;size=16	4379914;size=6	4379914;size=6	93.9	92.7	93.1	87.8	93.1	14	12	3	3	0	0	0.8	N
850933;size=3	0.0068	236371;size=24	353729;size=6	236371;size=24	96.6	96.2	96.2	97.9	96.2	1	0	0	2	1	7	0.4	N
856066;size=3	0.0766	2484910;size=7	225294;size=7	2484910;size=7	95.4	95.0	82.9	81.7	95.0	34	4	4	3	2	1	0.4	N
885942;size=3	0.0358	1061084;size=10	1143902;size=19	1061084;size=10	91.5	91.0	81.6	85.5	91.0	27	4	14	1	0	2	0.4	N
893238;size=3	0.0223	1978301;size=6	4298720;size=12	1978301;size=6	91.5	91.1	88.6	89.8	91.1	11	4	9	5	4	4	0.4	N
899404;size=3	0.0361	1083949;size=6	4320964;size=6	4320964;size=6	94.5	91.1	93.7	91.6	93.7	3	1	3	11	3	6	0.8	N
911146;size=3	0.1036	968085;size=18	973283;size=14	973283;size=14	93.2	86.4	92.8	88.5	92.8	6	5	6	16	0	5	0.4	N
913264;size=3	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
921911;size=3	0.0224	249749;size=10	593659;size=7	249749;size=10	80.6	79.8	78.2	78.2	79.8	10	4	6	17	15	23	0.8	N
922780;size=3	0.0583	593659;size=7	222997;size=17	593659;size=7	92.2	91.4	82.0	79.9	91.4	32	7	8	4	2	2	0.8	N
936318;size=3	0.4418	100463;size=16	4314522;size=6	4314522;size=6	96.7	88.7	94.6	88.7	94.6	5	0	8	19	0	0	2.1	Y
940630;size=3	0.0565	541715;size=18	638858;size=15	541715;size=18	79.4	78.5	76.4	81.5	78.5	7	0	1	14	12	35	0.9	N
942926;size=3	0.1428	1061084;size=10	1143902;size=19	1061084;size=10	93.6	92.8	84.7	85.6	92.8	21	0	6	4	2	7	0.8	N
957100;size=3	0.0298	212306;size=9	541715;size=18	212306;size=9	87.7	87.3	80.5	80.5	87.3	24	7	15	4	3	4	0.4	N
959744;size=3	0.2504	251133;size=21	1143902;size=19	251133;size=21	94.1	92.4	76.8	76.4	92.4	43	2	0	7	3	9	1.7	N
978958;size=3	0.0549	219781;size=15	217710;size=15	219781;size=15	90.6	89.8	80.9	80.9	89.8	31	8	13	3	1	0	0.9	N
999357;size=3	0.1695	254116;size=10	4418170;size=14	254116;size=10	95.8	93.3	91.6	87.9	93.3	10	0	0	12	6	4	2.5	N
1006493;size=2	0.0555	2505304;size=8	585110;size=24	2505304;size=8	83.8	81.8	77.7	80.2	81.8	17	2	19	13	8	11	2.0	N
